f,g,key norm,h,k1 (non-ternary),k1-norm,k2 (ternary),k2-norm,beta1,beta2,total time (seconds)
"1, 0, 1, -1, 0, 1, 0, 1, 1, 0, 1, 0, -1, 0, -1, 0, -1, -1, 0, 1, 0, 1, -1, 0, 1, 1, 0, -1, 0, 1, -1, 1, -1, 0, -1, 0, 0, 1, 1, 1, 0, 1, -1, 1, -1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 1, -1, -1, -1, 1, -1, 0","1, 1, -1, 1, 0, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, 0, -1, -1, -1, 1, 1, 1, -1, -1, 0, -1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, 0, -1, -1, -1, 1",9.0,"137, 401, 13, 189, 469, 452, 287, 222, 240, 200, 62, 287, 210, 66, 485, 10, 124, 345, 424, 237, 417, 105, 332, 212, 95, 424, 378, 313, 1, 457, 196, 298, 90, 352, 464, 39, 389, 73, 27, 341, 87, 67, 355, 406, 443, 494, 126, 122, 93, 264, 210, 198, 51, 118, 405, 490, 237, 276, 133, 407, 3","-1, -1, 0, 0, -1, -1, 0, 0, -1, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 1, -1, 0, 1, 1, 0, 1, 1, 1, -1, -1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, 0, -1, 1, -1, 1, 1, 0, -1, 1, 1, 1, 0, 0, -1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, 0, 1, 0, 1, 0, 1, 1, 0, -1, 0, -1, 1, 0, -1, -1, 0, 1, 0, -1, 1, -1, 1, 0, 1, 0, 0",9.0,"-1, -1, 0, 0, -1, -1, 0, 0, -1, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1, 0, 1, 1, 1, -1, -1, -1, 1, -1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 1, -1, 0, 1, 1, 0, 1, 1, 1, -1, -1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, 0, -1, 1, -1, 1, 1, 0, -1, 1, 1, 1, 0, 0, -1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, 0, 1, 0, 1, 0, 1, 1, 0, -1, 0, -1, 1, 0, -1, -1, 0, 1, 0, -1, 1, -1, 1, 0, 1, 0, 0",9.0,2,2,0.8176772594451904
"1, -1, 0, 1, 0, -1, 0, 0, 0, 1, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, 0, 0, -1, 1, -1, 0, -1, 1, 1, -1, 1, -1, 0, 0, 1, 0, 1, 1, -1, 0, -1, 0, 1, 0, 1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 0, -1, -1, 1, 1, 0","0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 0, 1, 0, 0, 0, 0, 1, 1, 0, -1, 1, -1, -1, 0, 0, 1, 0, 0, -1, 0, -1, 1, -1, 0, -1, 1, -1, -1, -1, -1, 1, -1, 1, 1, 0, 1, 1, 1, 0, 1, 1, -1, 1, -1, 1, 0, 1, -1, 0, -1, 1",9.0,"281, 502, 94, 225, 326, 459, 176, 503, 475, 358, 147, 425, 301, 190, 205, 395, 321, 2, 19, 418, 441, 374, 390, 327, 282, 37, 366, 413, 327, 165, 35, 45, 133, 496, 297, 193, 59, 340, 288, 168, 61, 464, 99, 485, 334, 459, 377, 166, 163, 107, 230, 16, 263, 213, 242, 254, 451, 31, 33, 412, 14","1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 1, 0, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, 1, -1, 1, -1, 0, -1, 1, 0, 1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 1, -1, 1, 1, -1, 1, 0, 1, -1, -1, 1, -1, 1, 0, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, 0, -1, 1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, 0, 0",9.0,"1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 1, 0, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, 1, -1, 1, -1, 0, -1, 1, 0, 1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 1, -1, 1, 1, -1, 1, 0, 1, -1, -1, 1, -1, 1, 0, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, 0, -1, 1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 0, 0, 0",9.0,2,2,0.7803356647491455
"-1, 1, -1, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, -1, 0, -1, 0, 1, 0, -1, 1, 0, -1, 0, 0, -1, -1, 1, 1, 1, 0, 0, 1, -1, 1, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1","1, -1, 0, -1, -1, -1, 1, 0, 0, -1, 1, -1, 0, 1, 1, -1, 0, 0, 0, 1, 0, 1, 1, 0, 1, -1, 0, 1, -1, 0, 1, 1, 0, -1, -1, -1, 1, -1, 0, 1, 0, 0, -1, 0, 1, 1, 1, -1, 0, 1, 1, -1, 0, 0, -1, 0, -1, -1, 0, 1, -1",9.0,"114, 366, 504, 113, 88, 190, 439, 508, 216, 373, 494, 269, 19, 445, 216, 482, 69, 23, 311, 407, 108, 77, 3, 441, 333, 260, 392, 126, 84, 64, 496, 326, 17, 400, 474, 348, 306, 243, 124, 236, 218, 234, 42, 343, 485, 322, 311, 228, 156, 96, 487, 147, 45, 43, 511, 132, 344, 267, 30, 34, 381","-1, 1, 0, 0, 0, -1, 0, -1, -1, 0, -1, 1, 0, -1, 1, 0, -1, -1, 0, 1, 1, 1, -1, 1, 0, -1, 0, 0, 1, 0, -1, -1, -1, 1, 0, -1, -1, 1, 0, 0, 1, 0, 1, 1, 0, -1, 1, -1, 1, 0, 1, 1, 1, -1, 0, 0, 1, -1, 1, 0, -1, -1, -1, 0, 1, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, 0, 1, 1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, -1, -1, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0",9.0,"-1, 1, 0, 0, 0, -1, 0, -1, -1, 0, -1, 1, 0, -1, 1, 0, -1, -1, 0, 1, 1, 1, -1, 1, 0, -1, 0, 0, 1, 0, -1, -1, -1, 1, 0, -1, -1, 1, 0, 0, 1, 0, 1, 1, 0, -1, 1, -1, 1, 0, 1, 1, 1, -1, 0, 0, 1, -1, 1, 0, -1, -1, -1, 0, 1, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, 0, 1, 1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, -1, -1, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0",9.0,2,2,0.7566688060760498
"-1, 0, 0, 1, -1, 1, 0, 0, -1, 0, 0, 0, -1, 1, 1, 0, -1, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, 1, 0, 1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 0, -1, 1, -1, 1, 1, 1, 0, -1, 1, 1, 0, 0, 1, 1, -1, 0","-1, -1, -1, 0, -1, 0, 1, 0, 1, 0, -1, 1, -1, -1, 0, 1, 0, 0, 1, -1, -1, 0, 0, 1, 0, 1, -1, 0, 0, 1, -1, 1, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 1, 1, 1, 1, 0",9.0,"272, 72, 350, 175, 467, 398, 295, 138, 276, 431, 472, 181, 3, 217, 339, 54, 361, 266, 110, 494, 142, 220, 350, 328, 24, 186, 461, 141, 427, 505, 244, 201, 178, 177, 288, 193, 481, 20, 201, 186, 32, 447, 482, 375, 361, 460, 46, 291, 130, 269, 347, 474, 390, 177, 381, 423, 477, 445, 0, 497, 68","-1, 1, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 1, 0, -1, 1, -1, -1, 0, 1, 0, 0, 1, -1, -1, 0, 0, 1, 0, 1, -1, 0, 0, 1, -1, -1, 1, 0, 1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 0, -1, 1, -1, 1, 1, 1, 0, -1, 1, 1, 0, 0, 1, 1, -1, 0, -1, 0, 0, 1, -1, 1, 0, 0, -1, 0, 0, 0, -1, 1, 1, 0, -1, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, 0, 0, 0",9.0,"-1, 1, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 1, 0, -1, 1, -1, -1, 0, 1, 0, 0, 1, -1, -1, 0, 0, 1, 0, 1, -1, 0, 0, 1, -1, -1, 1, 0, 1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 0, -1, 1, -1, 1, 1, 1, 0, -1, 1, 1, 0, 0, 1, 1, -1, 0, -1, 0, 0, 1, -1, 1, 0, 0, -1, 0, 0, 0, -1, 1, 1, 0, -1, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, 0, 0, 0",9.0,2,2,0.7868649959564209
"0, 1, 0, 0, 1, 1, 0, -1, -1, 0, -1, 1, 0, 1, -1, -1, 0, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 0, -1, 1, -1, 0, 1, -1, -1, 0, 1, -1, 1, 0, 0","1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1, -1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, -1, -1, 1, -1, 1, -1, 0, -1, -1, 0, 1, -1, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 0, 1, -1, 0, 1, 0, 0, 1, 0, -1, 1, -1",9.0,"11, 244, 386, 57, 401, 381, 488, 328, 233, 357, 231, 478, 240, 69, 188, 84, 248, 360, 246, 92, 210, 79, 265, 411, 250, 456, 197, 360, 447, 68, 300, 80, 504, 412, 252, 259, 415, 278, 177, 226, 482, 181, 31, 31, 476, 118, 320, 490, 471, 77, 359, 182, 2, 453, 205, 418, 500, 339, 424, 68, 501","-1, 1, 1, 1, 1, -1, -1, 1, -1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, -1, -1, 1, -1, 1, -1, 0, -1, -1, 0, 1, -1, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 0, 1, -1, 0, 1, 0, 0, 1, 0, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, -1, -1, 0, -1, 1, 0, 1, -1, -1, 0, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 0, -1, 1, -1, 0, 1, -1, -1, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0",9.0,"-1, 1, 1, 1, 1, -1, -1, 1, -1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, -1, -1, 1, -1, 1, -1, 0, -1, -1, 0, 1, -1, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 0, 1, -1, 0, 1, 0, 0, 1, 0, -1, 1, -1, 1, 1, 1, -1, 1, 1, 0, -1, -1, 0, -1, 1, 0, 1, -1, -1, 0, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 0, -1, 1, -1, 0, 1, -1, -1, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0",9.0,2,2,0.7490959167480469
"0, -1, 1, 0, 1, -1, 1, -1, 1, 1, 0, 0, 0, 1, 0, 1, -1, -1, -1, 0, 1, 1, 0, 0, -1, 0, 1, -1, 0, -1, 1, 1, 0, 0, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, 1, 1, -1, 1, 1, 0, 1, -1, 1, -1, -1, 0, 1, 1","1, 1, 0, 1, -1, 0, -1, 0, 0, 1, -1, 0, 0, -1, -1, 0, 1, 1, 1, 0, 0, 1, 1, 1, -1, 0, 1, 0, 1, -1, 1, 1, -1, 1, -1, 1, -1, 0, 0, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0, 1, -1, 0, -1, 0, 1, 0",9.0,"380, 33, 176, 425, 275, 451, 76, 405, 194, 485, 387, 510, 310, 504, 358, 484, 375, 133, 61, 180, 54, 134, 107, 432, 462, 478, 82, 39, 371, 74, 349, 13, 222, 354, 397, 248, 291, 323, 60, 463, 293, 471, 338, 433, 390, 143, 501, 499, 361, 433, 502, 152, 251, 138, 149, 452, 412, 58, 234, 214, 341","1, -1, 1, 0, 0, 0, 1, -1, 1, -1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, -1, 1, 0, 1, 0, -1, 0, -1, -1, 0, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 1, 1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 1, 0, -1, 0, -1, 1, -1, -1, 1, -1, -1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, -1, -1, 1, -1, -1, 0, -1, 1, -1, 1, 1, 0, -1, -1, 0, 1, -1, 0, -1, 1, -1, 1, -1, -1, 0, 0, 0, -1, 0, -1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0",9.0,"1, -1, 1, 0, 0, 0, 1, -1, 1, -1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, -1, 1, 0, 1, 0, -1, 0, -1, -1, 0, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 1, 1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 1, 0, -1, 0, -1, 1, -1, -1, 1, -1, -1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, -1, -1, 1, -1, -1, 0, -1, 1, -1, 1, 1, 0, -1, -1, 0, 1, -1, 0, -1, 1, -1, 1, -1, -1, 0, 0, 0, -1, 0, -1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0",9.0,2,2,0.819744348526001
"1, 0, 1, 1, 1, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, 1, 0, 0, 1, 0, 1, 1, -1, -1, -1, 0, 1, -1, 1, 1, 0, 1, 1, 0, -1, -1, 1, 1, 1, 0, 1, -1, -1, -1, -1, -1, 0, 1, -1, 0, 1, 0, 0, 0, -1, -1, 1, -1, 0, 0, 1","0, 1, -1, -1, -1, -1, 1, -1, 0, 1, 0, -1, 1, -1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, -1, 0, 0, 1, 1, 0, 0, 0, 1, -1, -1, 1, 0, -1, -1, 0, -1, -1, -1, -1, 1, 0, 1, -1, -1, 1, 0, -1, 1, 0, 0, -1, 0, 0, 0, 1",9.0,"284, 271, 453, 434, 383, 353, 422, 452, 253, 362, 197, 223, 213, 5, 223, 375, 336, 253, 348, 115, 66, 456, 447, 293, 145, 434, 456, 419, 506, 226, 350, 346, 167, 400, 142, 462, 408, 416, 481, 388, 370, 129, 118, 106, 205, 79, 341, 42, 278, 344, 465, 264, 271, 429, 470, 147, 149, 4, 325, 394, 27","0, 0, 1, 0, 0, 0, -1, 0, -1, 1, 1, 1, 1, -1, 1, 0, -1, 0, 1, -1, 1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 1, 0, 0, -1, -1, 0, 0, 0, -1, 1, 1, -1, 0, 1, 1, 0, 1, 1, 1, 1, -1, 0, -1, 1, 1, -1, 0, 1, -1, 1, 1, -1, 1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, -1, 0, 0, -1, 0, -1, -1, 1, 1, 1, 0, -1, 1, -1, -1, 0, -1, -1, 0, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, -1, 1, 0, -1, 0, 0, 0",9.0,"0, 0, 1, 0, 0, 0, -1, 0, -1, 1, 1, 1, 1, -1, 1, 0, -1, 0, 1, -1, 1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 1, 0, 0, -1, -1, 0, 0, 0, -1, 1, 1, -1, 0, 1, 1, 0, 1, 1, 1, 1, -1, 0, -1, 1, 1, -1, 0, 1, -1, 1, 1, -1, 1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, -1, 0, 0, -1, 0, -1, -1, 1, 1, 1, 0, -1, 1, -1, -1, 0, -1, -1, 0, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, -1, 1, 0, -1, 0, 0, 0",9.0,2,2,0.8042666912078857
"-1, 1, 0, -1, 1, 1, 0, 0, 0, 1, 1, 0, 0, -1, 0, 1, 1, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 1, 1, -1, 1, 0, -1, 1, -1, -1, 1, 1, -1, -1, 1, 0, 1, -1, -1, -1, 1, 0, 0, -1, 0, -1, 1, -1, 1, 0, 1, 1, -1, 1","0, -1, -1, 0, 1, 0, 0, 0, -1, -1, 1, 1, 1, -1, 0, -1, -1, -1, -1, 1, -1, 0, 0, 0, 1, 1, 0, 1, -1, 0, 1, 1, 1, -1, -1, 1, 0, 1, 0, 1, 1, 0, -1, 1, 0, -1, 0, 1, -1, 0, 1, -1, 0, -1, 0, 0, 1, 0, -1, 1, -1",9.0,"405, 444, 216, 120, 81, 83, 4, 169, 248, 394, 151, 9, 410, 10, 345, 504, 36, 282, 294, 108, 82, 301, 101, 229, 159, 100, 474, 323, 111, 361, 90, 166, 401, 8, 128, 287, 119, 343, 244, 366, 53, 454, 50, 46, 411, 58, 217, 233, 179, 506, 257, 240, 262, 83, 429, 301, 462, 246, 369, 305, 469","1, -1, -1, -1, 1, 0, 1, 1, 1, 1, -1, 1, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, -1, -1, 1, 1, -1, 0, -1, 0, -1, -1, 0, 1, -1, 0, 1, 0, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 0, 1, -1, 1, 0, 1, 1, 0, -1, 0, 0, 0, 1, -1, -1, 0, 0, 1, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, -1, -1, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, 1, -1, 0, -1, 1, 1, 1, -1, 0, 0, 1, 0, 1, -1, 1, -1, 0, -1, -1, 1, -1, 1, -1, 0, 1, -1, -1, 0, 0, 0",9.0,"1, -1, -1, -1, 1, 0, 1, 1, 1, 1, -1, 1, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, -1, -1, 1, 1, -1, 0, -1, 0, -1, -1, 0, 1, -1, 0, 1, 0, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 0, 1, -1, 1, 0, 1, 1, 0, -1, 0, 0, 0, 1, -1, -1, 0, 0, 1, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, -1, -1, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, 1, -1, 0, -1, 1, 1, 1, -1, 0, 0, 1, 0, 1, -1, 1, -1, 0, -1, -1, 1, -1, 1, -1, 0, 1, -1, -1, 0, 0, 0",9.0,2,2,0.7908389568328857
"1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 1, 1, -1, 0, 0, 0, -1, 1, 1, -1, 1, -1, 0, 1, 1, 1, -1, 1, 1, -1, 0, 0, 1, -1, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, 1, 0, -1, -1, 1, 0, 1, 1, 0, -1, -1, 0, 1","-1, 0, -1, 0, 1, 1, -1, 1, 0, -1, -1, -1, 1, 0, 1, 1, -1, -1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0, 1, 0, 1, 1, -1, 0, 0, 0, -1, 0, -1, 0, 1, 1, 0, -1, 1, -1, 0, -1, -1, 0, 1, -1, 0, 1, 1, -1, 0, 1, 0",9.0,"353, 274, 449, 89, 2, 502, 84, 340, 155, 70, 10, 167, 301, 453, 10, 264, 351, 499, 276, 341, 267, 363, 445, 289, 106, 311, 337, 236, 297, 501, 357, 29, 492, 443, 473, 416, 124, 159, 98, 120, 325, 111, 499, 250, 202, 244, 387, 308, 97, 386, 276, 345, 162, 107, 447, 286, 84, 475, 273, 490, 289","1, -1, 0, -1, -1, 1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, -1, 0, -1, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, -1, 0, 1, -1, 1, 0, 1, 1, 0, -1, 1, 0, -1, -1, 1, 0, -1, 0, 1, 0, 1, 0, -1, -1, 1, -1, 0, 1, 1, -1, 1, 0, -1, -1, 1, 0, 0, 0, 1, -1, -1, 1, -1, 1, 0, -1, -1, -1, 1, -1, -1, 1, 0, 0, -1, 1, 1, -1, 0, -1, 1, 1, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0",9.0,"1, -1, 0, -1, -1, 1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, -1, 0, -1, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, -1, 0, 1, -1, 1, 0, 1, 1, 0, -1, 1, 0, -1, -1, 1, 0, -1, 0, 1, 0, 1, 0, -1, -1, 1, -1, 0, 1, 1, -1, 1, 0, -1, -1, 1, 0, 0, 0, 1, -1, -1, 1, -1, 1, 0, -1, -1, -1, 1, -1, -1, 1, 0, 0, -1, 1, 1, -1, 0, -1, 1, 1, 1, 1, 1, 1, -1, 0, 1, 1, -1, 0, -1, -1, 0, 1, 1, 0, -1, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0",9.0,2,2,0.7893903255462646
"-1, 1, 1, 1, 1, 1, -1, 0, -1, 1, -1, 0, 1, 1, 1, -1, 1, 1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, -1, 1, -1, -1, 0, 1, 0, -1, 1, -1, -1, 1, 1, -1, 1, 0, -1, -1, 0, 1, 0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, -1","1, 1, -1, 0, 0, 1, 1, 0, 1, 0, -1, -1, 0, 1, -1, -1, 1, 1, 0, 1, -1, 1, 0, 0, -1, 0, 1, 0, 1, -1, -1, -1, 1, 0, 0, 0, -1, 1, 0, 0, 0, -1, 1, 1, 0, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1, 0, -1, 0, 0, 0, 1",9.0,"159, 258, 135, 227, 272, 400, 261, 383, 328, 227, 3, 497, 437, 156, 495, 286, 315, 504, 181, 345, 450, 291, 254, 131, 239, 39, 18, 441, 289, 77, 127, 396, 431, 227, 406, 438, 353, 198, 338, 335, 458, 440, 407, 122, 53, 323, 245, 41, 119, 203, 119, 404, 432, 92, 418, 308, 131, 90, 350, 259, 23","0, 0, 1, 0, -1, 0, -1, 1, 1, 1, -1, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, -1, 0, 1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 0, 1, 0, 0, 0, -1, -1, -1, 1, 0, 0, -1, -1, 0, -1, 0, 1, 1, 0, -1, 1, 1, -1, -1, 0, -1, 1, -1, 1, 0, 1, 0, 0, 1, -1, 1, -1, 1, 1, 0, -1, 0, 1, -1, 1, 1, -1, -1, 1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, 1, 1, -1, -1, -1, -1, -1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, -1, -1, 0, 0, 0, 0",9.0,"0, 0, 1, 0, -1, 0, -1, 1, 1, 1, -1, 0, 0, 0, 1, -1, 0, 0, 0, 1, -1, -1, 0, 1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 0, 1, 0, 0, 0, -1, -1, -1, 1, 0, 0, -1, -1, 0, -1, 0, 1, 1, 0, -1, 1, 1, -1, -1, 0, -1, 1, -1, 1, 0, 1, 0, 0, 1, -1, 1, -1, 1, 1, 0, -1, 0, 1, -1, 1, 1, -1, -1, 1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, 1, 1, -1, -1, -1, -1, -1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, -1, -1, 0, 0, 0, 0",9.0,2,2,1.0038230419158936
